Текст,Метка
"Подскажите, пожалуйста, какой сейчас баланс на моей карте?",Узнать баланс
"Баланс покажи быстро",Узнать баланс # подросток
"Сколько денег осталось?",Узнать баланс # пожилой
"СРОЧНО ЗАБЛОКИРУЙТЕ КАРТУ!!! ЕЁ УКРАЛИ!",Заблокировать карта # рассерженный
"Заблокируйте, пожалуйста, мою карту номер 1234",Заблокировать карта # пожилой
"Хочу оформить кредит на покупку машины",Оформить кредит # занятый человек
"Кредит нужен, какие условия?",Оформить кредит # технический энтузиаст
"Переведи 3000 рублей на карту 5555 6666 7777 8888",Перевод средств # подросток
"Нужно перевести деньги маме на карту",Перевод средств # занятая мама
"Соедините с оператором, не могу разобраться",Связаться с оператором # пожилой
